Jurisdiction,TAZNUM,Type,Subarea,SubareaName
BELLEVUE,91,Regular,1,North Bellevue
BELLEVUE,92,Regular,1,North Bellevue
BELLEVUE,93,Regular,2,Bridle Trails
BELLEVUE,94,Regular,2,Bridle Trails
BELLEVUE,95,Regular,2,Bridle Trails
BELLEVUE,96,Regular,2,Bridle Trails
BELLEVUE,97,Regular,2,Bridle Trails
BELLEVUE,98,Regular,2,Bridle Trails
BELLEVUE,99,Regular,2,Bridle Trails
BELLEVUE,100,Elementary School,2,Bridle Trails
BELLEVUE,101,Regular,2,Bridle Trails
BELLEVUE,102,Regular,2,Bridle Trails
BELLEVUE,103,Regular,2,Bridle Trails
BELLEVUE,104,Regular,2,Bridle Trails
BELLEVUE,105,Regular,2,Bridle Trails
BELLEVUE,106,Regular,2,Bridle Trails
BELLEVUE,107,Regular,2,Bridle Trails
BELLEVUE,108,Regular,2,Bridle Trails
BELLEVUE,109,Regular,2,Bridle Trails
BELLEVUE,110,Regular,2,Bridle Trails
BELLEVUE,111,Regular,2,Bridle Trails
BELLEVUE,112,Regular,2,Bridle Trails
BELLEVUE,113,Regular,2,Bridle Trails
BELLEVUE,114,Regular,2,Bridle Trails
BELLEVUE,115,Regular,2,Bridle Trails
BELLEVUE,116,Regular,2,Bridle Trails
BELLEVUE,117,Regular,2,Bridle Trails
BELLEVUE,118,Regular,2,Bridle Trails
BELLEVUE,119,Park,2,Bridle Trails
BELLEVUE,120,Regular,2,Bridle Trails
BELLEVUE,121,Regular,2,Bridle Trails
BELLEVUE,122,Regular,2,Bridle Trails
BELLEVUE,123,Regular,2,Bridle Trails
BELLEVUE,124,Regular,2,Bridle Trails
BELLEVUE,125,Regular,2,Bridle Trails
BELLEVUE,126,Regular,2,Bridle Trails
BELLEVUE,127,Regular,2,Bridle Trails
BELLEVUE,128,Regular,2,Bridle Trails
BELLEVUE,129,Regular,2,Bridle Trails
BELLEVUE,130,Regular,2,Bridle Trails
BELLEVUE,131,Regular,2,Bridle Trails
BELLEVUE,132,Regular,2,Bridle Trails
BELLEVUE,133,Regular,12,Bel-Red Northup
BELLEVUE,134,Regular,12,Bel-Red Northup
BELLEVUE,135,Regular,12,Bel-Red Northup
BELLEVUE,136,Regular,12,Bel-Red Northup
BELLEVUE,137,Regular,12,Bel-Red Northup
BELLEVUE,138,Regular,12,Bel-Red Northup
BELLEVUE,139,Regular,12,Bel-Red Northup
BELLEVUE,140,Park,12,Bel-Red Northup
BELLEVUE,141,Regular,12,Bel-Red Northup
BELLEVUE,142,Regular,12,Bel-Red Northup
BELLEVUE,143,Regular,12,Bel-Red Northup
BELLEVUE,144,Regular,12,Bel-Red Northup
BELLEVUE,145,Regular,12,Bel-Red Northup
BELLEVUE,146,Regular,12,Bel-Red Northup
BELLEVUE,147,Regular,12,Bel-Red Northup
BELLEVUE,148,Regular,12,Bel-Red Northup
BELLEVUE,149,Regular,12,Bel-Red Northup
