OBJECTID,MAJOR,MINOR,PIN,SHAPE_LENGTH,SHAPE_AREA,COUNTY,JURISDICTION,HASPARCELLU,PSRCID,FIRSTOFTAXPAYERNAME,PROPNAME,EDU_LOW,EDU_MED,EDU_HIGH,FOO_LOW,FOO_MED,FOO_HIGH,GOV_VERYLOW,GOV_LOW,GOV_MED,GOV_HIGH,GOV_VERYHIGH,IND_LOW,IND_MED,IND_HIGH,NOEMP,MED_LOW,MED_MED,MED_HIGH,OFC_LOW,OFC_MED,OFC_HIGH,OTH_LOW,OTH_MED,OTH_HIGH,RET_VERYLOW,RET_LOW,RET_MED,RET_HIGH,SVC_LOW,SVC_MED,SVC_HIGH,SFUNITS,APTUNITS,CONDOUNITS,TAZ_P,SUBAREA,CONVERSION,EMPTOT_P,EMPEDU_P,SQFT_EDU,EMPFOO_P,SQFT_FOO,EMPGOV_P,SQFT_GOV,EMPIND_P,SQFT_IND,EMPMED_P,SQFT_MED,EMPOFC_P,SQFT_OFC,EMPOTH_P,SQFT_OTH,EMPRET_P,SQFT_RET,EMPSVC_P,SQFT_SVC,EMPEDU_ESD,EMPFOO_ESD,EMPGOV_ESD,EMPIND_ESD,EMPMED_ESD,EMPOFC_ESD,EMPOTH_ESD,EMPRET_ESD,EMPSVC_ESD,EMPTOT_ESD
115100,154410,208,1544100208,1386.496194,114042.5949,King,Bellevue,1,789481,,PACCAR - BUSINESS CENTER BUILDING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40172,0,0,0,0,128528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,3.0,veryhigh,462.7008,0,0,0.0,0,0,0,0.0,0,0.0,0,462.7008,128528,0.0,0,0.0,0,0.0,0,0,13,0.0,15,0,443,0,0,0,471.0
115101,154410,209,1544100209,924.6537448,53382.60881,King,Bellevue,1,789482,,BANK OF AMERICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4464,0,0,0,0,13876,0,0,0,0,0,0,0,0,0,0,10150,0,0,0,41.0,3.0,veryhigh,86.4936,0,0,0.0,0,0,0,0.0,0,0.0,0,49.9536,13876,0.0,0,0.0,0,36.54,10150,0,0,0.0,0,0,15,0,0,1,16.0
354611,432340,0,4323400000,1869.472151,198206.3952,King,Bellevue,1,1031435,,LINCOLN SQUARE GARAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,789,0.0,27,0,1774,0,164,165,2919.0
354612,432341,0,4323410000,1869.472151,198206.3952,King,Bellevue,1,1031435,,WESTIN HOTEL AT LINCOLN SQUARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337827,0,0,0,0,0,41.0,3.0,veryhigh,1216.1772,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1216.1772,337827,0,789,0.0,27,0,1774,0,164,165,2919.0
354613,432342,0,4323420000,1869.472151,198206.3952,King,Bellevue,1,1031435,,LINCOLN SQUARE OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,3.0,veryhigh,1936.8612,0,0,0.0,0,0,0,0.0,0,0.0,0,1936.8612,538017,0.0,0,0.0,0,0.0,0,0,789,0.0,27,0,1774,0,164,165,2919.0
354614,432343,0,4323430000,1869.472151,198206.3952,King,Bellevue,1,1031435,,LINCOLN SQUARE RETAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285417,0,0,0,0,0,0,0,41.0,3.0,veryhigh,1284.3765,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1284.3765,285417,0.0,0,0,789,0.0,27,0,1774,0,164,165,2919.0
419413,638999,0,6389990000,1869.472151,198206.3952,King,Bellevue,1,1031435,,ONE LINCOLN TOWER CONDOMINIUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,41.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,789,0.0,27,0,1774,0,164,165,2919.0
