OBJECTID,MAJOR,MINOR,PIN,SHAPE_LENGTH,SHAPE_AREA,COUNTY,JURISDICTION,HASPARCELLU,PSRCID,FIRSTOFTAXPAYERNAME,PROPNAME,EDU_LOW,EDU_MED,EDU_HIGH,FOO_LOW,FOO_MED,FOO_HIGH,GOV_VERYLOW,GOV_LOW,GOV_MED,GOV_HIGH,GOV_VERYHIGH,IND_LOW,IND_MED,IND_HIGH,NOEMP,MED_LOW,MED_MED,MED_HIGH,OFC_LOW,OFC_MED,OFC_HIGH,OTH_LOW,OTH_MED,OTH_HIGH,RET_VERYLOW,RET_LOW,RET_MED,RET_HIGH,SVC_LOW,SVC_MED,SVC_HIGH,SFUNITS,APTUNITS,CONDOUNITS,TAZ_P,SUBAREA,CONVERSION,EMPTOT_P,EMPEDU_P,SQFT_EDU,EMPFOO_P,SQFT_FOO,EMPGOV_P,SQFT_GOV,EMPIND_P,SQFT_IND,EMPMED_P,SQFT_MED,EMPOFC_P,SQFT_OFC,EMPOTH_P,SQFT_OTH,EMPRET_P,SQFT_RET,EMPSVC_P,SQFT_SVC,EMPEDU_ESD,EMPFOO_ESD,EMPGOV_ESD,EMPIND_ESD,EMPMED_ESD,EMPOFC_ESD,EMPOTH_ESD,EMPRET_ESD,EMPSVC_ESD,EMPTOT_ESD
228349,282605,9079,2826059079,537.2736017,11512.26539,King,Kirkland,1,903839,,OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.0,20.0,high,4.86,0,0,0.0,0,0,0,0.0,0,0.0,0,4.86,1350,0.0,0,0.0,0,0.0,0,0,0,0.0,0,2,0,23,0,0,25.0
228368,282605,9108,2826059108,758.1522022,35575.7336,King,Kirkland,1,903858,,Kirkland 118 Commerce Center (Bldg B),0,0,0,0,0,0,0,0,0,0,0,34737,0,0,0,0,0,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804.0,20.0,high,117.081,0,0,0.0,0,0,0,104.211,34737,0.0,0,12.87,3575,0.0,0,0.0,0,0.0,0,0,0,0.0,3,0,0,2,0,0,5.0
228379,282605,9124,2826059124,843.007026,33505.59485,King,Kirkland,1,903869,,DISCOUNT TIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5725,0,0,1146,0,0,0,0,0,0,0,873.0,20.0,high,27.0256,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,22.9,5725,4.1256,1146,0.0,0,0,0,0.0,0,0,0,0,15,0,15.0
228388,282605,9140,2826059140,1193.998539,34780.15461,King,Kirkland,1,903797,,EVERGREEN PROFESSIONAL BLDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.0,20.0,high,35.04,0,0,0.0,0,0,0,0.0,0,35.04,5840,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,81,0,0,0,0,81.0
228390,282605,9142,2826059142,706.0379386,21143.81858,King,Kirkland,1,903839,,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.0,20.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,2,0,23,0,0,25.0
228397,282605,9153,2826059153,559.8675902,4435.915221,King,Kirkland,1,903853,,VACANT(SEE MINOR 9182),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.0,20.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0.0,0,0,0,0,3,0,6.0
228408,282605,9178,2826059178,785.5987347,39774.55597,King,Kirkland,1,903897,,MCDONALDS,0,0,0,0,0,4586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.0,20.0,high,51.5925,0,0,51.5925,4586,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,55,0.0,0,0,0,2,0,0,57.0
228441,282605,9231,2826059231,1202.551143,79867.45729,King,Kirkland,1,903840,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804.0,20.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,4,0,0,5.0
228442,282605,9232,2826059232,1202.551143,79867.45729,King,Kirkland,1,903840,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804.0,20.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,4,0,0,5.0
237876,292505,9348,2925059348,576.4275369,19569.00921,King,Bellevue,1,913349,FOUNTAINS BELLEVUE SL LLC,PARKING LOT PACIFIC REGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
237877,292505,9349,2925059349,500.1010354,15261.94047,King,Bellevue,1,913424,FOUNTAINS BELLEVUE SL LLC,PARKING LOT PACIFIC REGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
237878,292505,9350,2925059350,590.7903393,18814.42983,King,Bellevue,1,913425,FOUNTAINS BELLEVUE SL LLC,PAC REGENT GARAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,3.0,veryhigh,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,1.0
238518,292605,9258,2926059258,4567.570191,663475.5638,King,Kirkland,1,914072,KIRKLAND CITY OF,VACANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.0,20.0,high,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
239224,293730,960,2937300960,487.236732,4472.286194,King,Redmond,1,914698,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182.0,39.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
244123,302505,9194,3025059194,563.1958406,19805.92291,King,Clyde Hill,1,919618,FREEMARK LLC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.0,50.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
244256,302507,9147,3025079147,2900.52946,217068.988,King,,1,919840,DI DOMENICO STEPHEN G+GINET,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1214.0,46.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
244558,302605,9300,3026059300,3491.713787,198438.4861,King,Kirkland,1,920050,PECK BRETT D+RHONDA M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,847.0,24.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
244594,302605,9350,3026059350,885.3566097,16655.05949,King,Kirkland,1,920180,VEHRS RICHARD A+SANTOSE-VEHRS RENEE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,845.0,24.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
249597,312606,9055,3126069055,2294.140802,153321.2676,King,Redmond,1,925231,LAKHAM JHA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160.0,36.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
249626,312606,9116,3126069116,2223.915419,79824.50633,King,,1,925260,KLEMMEDSON MARK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206.0,45.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
249757,312670,47,3126700047,367.9936579,8458.059121,King,Kirkland,1,925395,SAHAI AKSHAY+MEENAL GUPTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,812.0,27.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
250190,313410,205,3134100205,2005.897212,56342.06981,King,Redmond,1,921596,WALTERS RICHARD C+VICTORIA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.0,30.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
250196,313410,211,3134100211,455.0034853,11961.09399,King,Redmond,1,925837,CHAPMAN LINDA ROSS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,962.0,30.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
252528,320496,220,3204960220,904.0161254,5975.392972,King,Newcastle,1,928179,NEWCASTLE CITY OF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.0,49.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
256596,322451,320,3224510320,2654.692003,66860.37896,King,Bellevue,1,932317,BELLEVUE CITY OF/PARKS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.0,11.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
256777,322505,9070,3225059070,776.9757558,29044.47029,King,Bellevue,1,932518,RASH & ASSOCIATES #47,DENNY'S RESTAURANT,0,0,0,0,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0,4.0,med,36.6,0,0,36.6,3660,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,26,0.0,0,0,0,0,0,0,26.0
257388,322605,9030,3226059030,7394.187298,361138.0193,King,Kirkland,1,933238,KIRKLAND CITY OF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.0,18.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0
257440,322605,9114,3226059114,1351.130838,34052.68405,King,Kirkland,1,888482,SCRIVANICH P J,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,805.0,27.0,med,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,1,0,0,0,2.0
